entry price,close price,profit,entry price difference, open_time, close_time,open_time,close_time
2077.6,2075.8,1.8,0.0,,,,
2075.5,2073.6,1.9,0.0,,,,
2073.4,2075.0,-1.6,0.0,,,,
2074.3,2076.0,-1.7,0.0,,,,
2077.0,2074.4,2.6,0.0,,,,
2075.2,2076.8,-1.6,0.0,,,,
2077.4,2075.2,2.2,0.0,,,,
2074.7,2076.3,-1.6,0.0,,,,
2078.2,2076.2,2.0,0.0,,,,
2077.7,2075.8,1.9,0.0,,,,
2076.0,2075.1,-0.9,0.0,,,,
2076.4,2074.5,1.8,0.0,,,,
2076.4,2078.4,-2.0,0.0,,,,
2075.3,2077.3,2.0,0.0,,,,
2076.5,2078.3,-1.8,0.0,,,,
2077.9,2076.0,1.9,0.0,,,,
2075.9,2074.0,1.9,0.0,,,,
2073.9,2075.9,2.0,0.0,,,,
2074.6,2076.2,-1.6,0.0,,,,
2076.2,2078.0,-1.7,0.0,,,,
2078.0,2075.5,2.5,0.0,,,,
2075.8,2077.4,-1.6,0.0,,,,
2075.4,2077.0,-1.6,0.0,,,,
2077.9,2075.5,2.4,0.0,,,,
2076.5,2074.6,1.8,0.0,,,,
2075.1,2072.8,2.3,0.0,,,,
2071.9,2073.8,1.8,0.0,,,,
2072.5,2074.1,-1.6,0.0,,,,
2074.6,2071.4,3.2,0.0,,,,
2074.9,2076.5,-1.6,0.0,,,,
2074.9,2076.7,1.9,0.0,,,,
2075.8,2077.5,-1.7,0.0,,,,
2078.2,2079.9,-1.7,0.0,,,,
2081.2,2083.6,-2.4,0.0,,,,
2083.2,2085.8,-2.6,0.0,,,,
2086.0,2088.3,-2.3,0.0,,,,
2086.7,2088.6,1.8,0.0,,,,
2086.4,2084.4,1.9,0.0,,,,
2085.6,2084.0,-1.6,0.0,,,,
2086.6,2084.8,1.8,0.0,,,,
2085.2,2084.3,-0.9,0.0,,,,
2082.8,2080.9,1.9,0.0,,,,
2082.6,2080.7,1.9,0.0,,,,
2078.8,2077.9,-0.9,0.0,,,,
2078.3,2080.1,-1.8,0.0,,,,
2080.0,2081.6,-1.6,0.0,,,,
2084.2,2086.4,-2.2,0.0,,,,
2085.6,2087.5,1.9,0.0,,,,
2086.0,2085.4,-0.6,0.0,,,,
2086.8,2085.0,1.8,0.0,,,,
2088.0,2090.1,2.1,0.0,,,,
2087.7,2091.0,3.3,0.0,,,,
2090.4,2087.8,2.6,0.0,,,,
2087.8,2089.4,-1.6,0.0,,,,
2088.0,2089.8,-1.8,0.0,,,,
2090.9,2086.3,4.7,0.0,,,,
2089.3,2086.9,2.5,0.0,,,,
2086.7,2085.8,-0.9,0.0,,,,
2085.8,2084.1,-1.6,0.0,,,,
2083.3,2081.4,1.9,0.0,,,,
2081.1,2083.4,-2.3,0.0,,,,
2083.5,2081.7,1.8,0.0,,,,
2080.7,2078.8,1.9,0.0,,,,
2078.9,2078.2,-0.7,0.0,,,,
2079.1,2077.2,1.9,0.0,,,,
2076.8,2074.7,2.1,0.0,,,,
2072.7,2074.5,1.8,0.0,,,,
2073.0,2074.7,-1.7,0.0,,,,
2074.8,2076.4,-1.6,0.0,,,,
2075.0,2076.8,1.9,0.0,,,,
2076.2,2077.8,-1.6,0.0,,,,
2076.2,2077.9,-1.7,0.0,,,,
2078.7,2080.2,-1.6,0.0,,,,
2081.3,2083.0,-1.7,0.0,,,,
2083.6,2081.4,2.2,0.0,,,,
2082.1,2081.1,-1.0,0.0,,,,
2081.7,2083.5,1.8,0.0,,,,
2081.9,2083.8,1.9,0.0,,,,
2083.4,2082.7,-0.8,0.0,,,,
2084.0,2085.5,-1.6,0.0,,,,
2087.1,2085.2,1.9,0.0,,,,
2084.8,2086.5,-1.7,0.0,,,,
2086.5,2084.9,-1.6,0.0,,,,
2083.6,2081.5,2.1,0.0,,,,
2082.6,2080.6,2.0,0.0,,,,
2080.6,2082.3,-1.6,0.0,,,,
2082.3,2081.0,-1.3,0.0,,,,
2083.9,2082.0,1.8,0.0,,,,
2081.3,2079.5,1.8,0.0,,,,
2081.1,2079.2,1.9,0.0,,,,
2078.8,2076.6,2.2,0.0,,,,
2078.4,2075.0,3.4,0.0,,,,
2071.9,2073.6,-1.7,0.0,,,,
2072.1,2070.3,1.8,0.0,,,,
2068.7,2066.9,1.8,0.0,,,,
2068.4,2070.0,-1.6,0.0,,,,
2070.1,2071.9,-1.7,0.0,,,,
2072.9,2070.8,2.0,0.0,,,,
2071.6,2069.6,2.0,0.0,,,,
2070.2,2069.6,-0.6,0.0,,,,
2072.4,2070.6,1.8,0.0,,,,
2070.2,2067.2,3.0,0.0,,,,
2067.0,2068.6,-1.6,0.0,,,,
2069.3,2071.8,-2.5,0.0,,,,
2073.6,2071.3,2.4,0.0,,,,
2071.6,2069.8,1.8,0.0,,,,
2069.8,2067.8,2.0,0.0,,,,
2067.8,2065.9,1.9,0.0,,,,
2065.0,2066.7,-1.7,0.0,,,,
2066.9,2068.4,-1.6,0.0,,,,
2068.7,2066.9,1.8,0.0,,,,
2066.8,2064.9,1.9,0.0,,,,
2064.0,2065.7,-1.6,0.0,,,,
2065.4,2067.2,-1.8,0.0,,,,
2068.9,2066.3,2.5,0.0,,,,
2068.2,2066.4,1.8,0.0,,,,
2065.8,2063.5,2.3,0.0,,,,
2063.9,2065.6,-1.7,0.0,,,,
2062.9,2064.5,-1.6,0.0,,,,
2064.2,2062.2,1.9,0.0,,,,
2062.7,2060.8,1.9,0.0,,,,
2061.0,2058.9,2.1,0.0,,,,
2058.9,2060.7,1.8,0.0,,,,
2060.4,2062.0,-1.6,0.0,,,,
2063.4,2061.4,1.9,0.0,,,,
2062.6,2060.8,1.8,0.0,,,,
2060.9,2059.0,1.9,0.0,,,,
2060.8,2062.4,-1.6,0.0,,,,
2063.1,2065.0,-1.9,0.0,,,,
2065.1,2066.8,-1.7,0.0,,,,
2066.2,2067.8,-1.6,0.0,,,,
2068.2,2065.9,2.3,0.0,,,,
2065.6,2067.1,-1.6,0.0,,,,
2067.7,2065.7,2.0,0.0,,,,
2066.2,2064.3,1.8,0.0,,,,
2064.9,2063.1,1.8,0.0,,,,
2062.5,2064.2,-1.7,0.0,,,,
2064.7,2062.4,2.3,0.0,,,,
2063.5,2061.6,1.9,0.0,,,,
2061.7,2063.7,-2.0,0.0,,,,
2063.8,2061.8,2.0,0.0,,,,
2062.1,2063.7,-1.6,0.0,,,,
2063.2,2065.0,-1.8,0.0,,,,
2065.8,2064.0,1.8,0.0,,,,
2064.0,2061.8,2.2,0.0,,,,
2060.5,2058.3,2.2,0.0,,,,
2058.4,2060.0,-1.6,0.0,,,,
2059.3,2057.5,1.9,0.0,,,,
2057.6,2059.2,-1.7,0.0,,,,
2059.0,2060.7,-1.7,0.0,,,,
2061.3,2058.8,2.4,0.0,,,,
2059.6,2061.3,-1.7,0.0,,,,
2061.2,2059.3,1.9,0.0,,,,
2058.3,2060.6,2.3,0.0,,,,
2059.5,2057.4,2.1,0.0,,,,
2056.5,2058.9,-2.4,0.0,,,,
2059.0,2057.0,2.0,0.0,,,,
2056.6,2054.7,2.0,0.0,,,,
2055.1,2056.7,-1.6,0.0,,,,
2056.4,2058.0,-1.7,0.0,,,,
2057.8,2055.7,2.1,0.0,,,,
2055.6,2057.5,-1.9,0.0,,,,
2057.4,2059.3,-1.9,0.0,,,,
2058.1,2060.0,-1.9,0.0,,,,
2060.6,2062.2,-1.7,0.0,,,,
2062.7,2060.8,1.9,0.0,,,,
2062.3,2063.9,-1.6,0.0,,,,
2064.4,2066.3,1.9,0.0,,,,
2067.0,2068.6,-1.6,0.0,,,,
2068.6,2071.1,2.5,0.0,,,,
2069.6,2071.2,-1.7,0.0,,,,
2070.6,2068.7,1.9,0.0,,,,
2067.9,2069.7,-1.7,0.0,,,,
2070.6,2068.4,2.2,0.0,,,,
2068.3,2069.9,-1.6,0.0,,,,
2069.9,2068.0,1.9,0.0,,,,
2067.0,2068.6,-1.6,0.0,,,,
2067.9,2069.6,-1.7,0.0,,,,
2069.7,2067.8,1.9,0.0,,,,
2067.0,2068.7,-1.7,0.0,,,,
2067.8,2066.0,1.8,0.0,,,,
2065.7,2063.8,1.9,0.0,,,,
2063.8,2061.3,2.5,0.0,,,,
2062.0,2063.6,-1.6,0.0,,,,
2063.6,2065.2,-1.6,0.0,,,,
2065.1,2066.6,-1.6,0.0,,,,
2066.0,2059.1,6.9,0.0,,,,
2061.2,2059.4,1.8,0.0,,,,
2060.2,2058.9,-1.2,0.0,,,,
2060.9,2058.9,1.9,0.0,,,,
2059.6,2061.3,-1.7,0.0,,,,
2060.8,2062.5,-1.8,0.0,,,,
2062.2,2060.3,1.8,0.0,,,,
2060.8,2062.4,-1.6,0.0,,,,
2062.8,2064.4,-1.6,0.0,,,,
2064.2,2065.8,-1.6,0.0,,,,
2065.2,2063.3,1.8,0.0,,,,
2063.6,2065.2,-1.6,0.0,,,,
2065.1,2063.2,1.9,0.0,,,,
2063.4,2061.6,1.9,0.0,,,,
2061.9,2060.0,2.0,0.0,,,,
2060.5,2058.5,2.0,0.0,,,,
2058.9,2056.9,2.0,0.0,,,,
2056.6,2058.2,-1.6,0.0,,,,
2057.9,2059.5,-1.6,0.0,,,,
2060.0,2062.2,2.2,0.0,,,,
2062.6,2064.6,-2.0,0.0,,,,
2064.4,2066.0,-1.6,0.0,,,,
2064.6,2066.3,-1.8,0.0,,,,
2064.9,2064.2,-0.7,0.0,,,,
2064.8,2062.9,1.9,0.0,,,,
2063.6,2065.2,-1.6,0.0,,,,
2065.6,2063.6,2.0,0.0,,,,
2065.4,2063.5,1.9,0.0,,,,
2063.7,2061.9,1.8,0.0,,,,
2062.3,2060.3,2.0,0.0,,,,
