id,symbol,entry_price,exit_price,pnl,long_ema,short_ema,adx,atr,rsi,volume,side,Profit/Loss (%),Label
41,ETHUSDT,2688.18,2691.185142857142,-3.0051428571428005,2696.062128984357,2693.5629236270092,22.262059878618892,3.756428571428517,36.34377276037831,8676.032,short,-11.179098338438445,0
42,BNBUSDT,656.39,657.2211285714286,0.8311285714286214,655.3223045709519,655.3858365436985,28.791804708008907,1.259285714285722,55.07812499999978,195.93,long,12.662115075315306,1
43,BNBUSDT,656.72,657.5996857142858,0.8796857142857561,655.352304570952,655.4518365436985,29.428806329565163,1.3328571428571487,56.92883895131085,1816.13,long,13.39514122130826,1
44,ADAUSDT,0.7805,0.7819472857142857,0.0014472857142857,0.777617152948497,0.7776655443405301,31.02382898337579,0.0021928571428571,60.0,2527029.0,long,18.543058478997594,1
45,BNBUSDT,659.01,660.6780714285715,1.6680714285714655,656.216340299909,656.9672456386393,21.069987090033212,1.5164285714285728,71.13866967305496,4722.47,long,25.31177718959448,1
46,BNBUSDT,661.11,662.8645,1.7545000000000073,656.6694829172726,657.8117965109114,22.96489139960481,1.5950000000000029,79.56480605487182,10057.35,long,26.53870006504223,1
47,BNBUSDT,662.24,663.4011285714286,1.1611285714285486,657.2155629826445,658.7742372087291,26.730741944368173,1.759285714285714,82.31233822260533,6112.32,long,17.533350015531358,1
48,BNBUSDT,664.44,666.2797714285715,1.8397714285714528,658.8628394787985,661.2542014508695,35.2160355284703,1.9164285714285665,90.30910609858007,8748.52,long,27.689052865141363,1
49,BTCUSDT,97185.0,97223.59428571428,-38.59428571427998,97221.18003808089,97220.09026316716,25.115576709696576,48.24285714285673,54.33541723294336,59.622,short,-3.97121836850131,0
50,BNBUSDT,669.66,667.9588571428571,-1.7011428571428269,660.531617901336,663.8828489285565,42.83976036821347,2.1264285714285784,92.87906691221622,10939.2,long,-25.403083014407713,0
51,BNBUSDT,668.36,669.9450285714286,1.585028571428552,661.2465947863384,664.7846791428453,46.33464120307961,2.201428571428575,85.72244431753283,9703.41,long,23.715191983789452,1
52,XRPUSDT,2.7606,2.75592,-0.00468,2.753696917602842,2.7538698148504377,27.571942497071205,0.0058499999999999,58.59564164648957,476418.3,long,-16.952836339926165,0
53,XRPUSDT,2.7659,2.761231428571429,-0.0046685714285712,2.7555925137375357,2.7576720652034243,25.451962500170712,0.0058357142857142,63.59649122807018,1548161.6,long,-16.87903188318739,0
54,ETHUSDT,2700.0,2702.575428571429,-2.5754285714288017,2705.0580535441964,2704.3266863214217,17.712667317380408,3.219285714285726,22.53521126760704,5239.293,short,-9.538624338625192,0
55,BNBUSDT,663.78,662.8162285714285,0.9637714285714764,665.907019608709,665.3231411848639,25.18866683607556,1.3385714285714292,29.363207547170404,4407.12,short,14.519440606397849,1
56,BTCUSDT,96914.6,96854.59314285716,60.00685714285646,97080.57699788094,97015.59802143804,35.165379381017914,83.34285714285632,35.54528909421846,428.769,short,6.19172520371976,1
57,ETHUSDT,2694.82,2690.7098285714287,4.110171428571448,2702.542548031092,2699.9387043712227,27.50730696159635,4.281428571428608,33.9227242960057,5728.961,short,15.252118614866475,1
58,BTCUSDT,96789.9,96676.88571428572,113.01428571427824,97049.12702286696,96960.73041715042,38.45570450415258,94.1785714285704,27.084468664849993,614.961,short,11.676247802123802,1
59,ETHUSDT,2681.0,2685.216,-4.2159999999998945,2699.413375532833,2694.3463707975834,35.94225753005091,5.270000000000015,20.62408581179922,12469.01,short,-15.725475568817213,0
60,BTCUSDT,96697.5,96784.63142857145,-87.13142857143248,96999.06778749336,96886.73866697628,44.78652345743283,108.91428571428489,25.43175131124471,922.29,short,-9.010721949527861,0
61,ETHUSDT,2687.17,2692.1414285714286,-4.9714285714285325,2698.5904240381124,2693.4726966380667,40.56143553734869,6.214285714285714,27.890644594933335,18587.44,short,-18.500610573311445,0
62,BNBUSDT,667.47,665.9688571428571,-1.501142857142895,665.5927030950866,665.6016600982123,27.467927880800698,1.8764285714285704,59.617137648131205,4624.44,long,-22.49004235610432,0
63,BNBUSDT,666.63,668.4361714285714,1.8061714285713608,665.6638623178474,665.7625280785699,26.09560970864115,1.8814285714285657,56.04297224709042,986.45,long,27.094061601958515,1
64,BNBUSDT,669.45,667.7991428571429,-1.6508571428571486,665.920225954211,666.3265280785698,28.26601565403555,2.0635714285714193,66.20046620046634,8284.23,long,-24.659902051790997,0
65,BNBUSDT,671.14,672.7790285714286,1.6390285714286392,666.8237227987378,667.9748943762277,27.464484829536858,2.2764285714285717,68.84615384615381,8562.68,long,24.42155990447059,1
66,BNBUSDT,673.95,675.768,1.8179999999999836,667.0791773441923,668.5368943762278,29.4284093855073,2.5249999999999937,73.60130363932649,24269.4,long,26.975294903182483,1
67,BNBUSDT,676.89,674.7014285714286,-2.1885714285714357,667.9123926269517,670.0939155009822,32.07600298097549,2.735714285714274,76.96682464454972,18364.09,long,-32.33274872684536,0
68,BTCUSDT,96979.0,96891.26857142858,-87.73142857142375,96921.3737149743,96924.78725827888,30.69606720111462,109.66428571428489,70.60220525869332,1.239,long,-9.04643567900512,0
69,ETHUSDT,2699.45,2694.1311428571425,-5.318857142857269,2692.827028243993,2692.927880155215,26.049697548782397,6.648571428571456,72.25030084235824,6182.923,long,-19.703484572254602,0
70,BNBUSDT,675.04,676.9,-1.8600000000000136,676.2719531429989,676.2426119705093,27.47273156275562,2.325000000000013,29.935179728933136,150.85,short,-27.553922730505064,0
