"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Funding Fee","Transaction Fee","Transaction Fee(BNB)","Opened","Closed","Status"
"MATICUSDT","Cross","Short","0.53460000","0.53090000","100.00000000","100.00000000","0.37000000","0E-8","-0.02673000","0E-8","2024-07-21 17:51:51.594","2024-07-21 17:52:56.471","Closed"
"MATICUSDT","Cross","Long","0.53450000","0.53300000","100.00000000","100.00000000","-0.15000000","0E-8","-0.02672500","0E-8","2024-07-21 13:00:24.628","2024-07-21 13:34:23.905","Closed"
"MATICUSDT","Cross","Long","0.53470000","0.53320000","100.00000000","100.00000000","-0.15000000","0E-8","-0.01069400","0E-8","2024-07-21 12:15:13.845","2024-07-21 12:41:29.811","Closed"
"MATICUSDT","Cross","Short","0.53420000","0.53250000","100.00000000","100.00000000","0.17000000","0E-8","-0.01068400","0E-8","2024-07-21 11:00:33.088","2024-07-21 11:26:41.042","Closed"
"MATICUSDT","Cross","Long","0.53470000","0.53670000","100.00000000","100.00000000","0.20000000","0E-8","-0.02673500","0E-8","2024-07-21 09:15:18.439","2024-07-21 09:50:33.207","Closed"
"MATICUSDT","Cross","Long","0.53460000","0.53310000","100.00000000","100.00000000","-0.15000000","0E-8","-0.02673000","0E-8","2024-07-21 08:46:28.551","2024-07-21 08:57:33.188","Closed"
"MATICUSDT","Cross","Long","0.54130000","0.53960000","100.00000000","100.00000000","-0.17000000","0E-8","-0.02706500","0E-8","2024-07-21 02:45:32.059","2024-07-21 02:47:57.766","Closed"
"MATICUSDT","Cross","Short","0.53980000","0.54130000","100.00000000","100.00000000","-0.15000000","0E-8","-0.01079600","0E-8","2024-07-21 02:16:00.100","2024-07-21 02:43:20.229","Closed"
"MATICUSDT","Cross","Short","0.53990000","0.54120000","100.00000000","100.00000000","-0.13000000","0E-8","-0.02699500","0E-8","2024-07-21 00:51:22.147","2024-07-21 01:19:10.243","Closed"
"MATICUSDT","Cross","Short","0.54010000","0.54160000","100.00000000","100.00000000","-0.15000000","0E-8","-0.01080200","0E-8","2024-07-21 00:45:34.940","2024-07-21 00:48:00.014","Closed"
"MATICUSDT","Cross","Long","0.54010000","0.54210000","100.00000000","100.00000000","0.20000000","-0.00541242","0E-8","0E-8","2024-07-20 22:58:48.948","2024-07-21 00:16:20.631","Closed"
